,source,target,attributes,relation_type
77,09GMmPmF55FBsVX0Cbt9gj,0ntSe4vdz15fTYtOt1Vno4,{'relation': 'SURROUNDS'},SURROUNDS
78,09GMmPmF55FBsVX0Cbt9gj,0W9flIbcr2lubL3fUKjzP5,{'relation': 'SURROUNDS'},SURROUNDS
79,09GMmPmF55FBsVX0Cbt9gj,2g7A0dmVP40R7h4ddSWuCJ,{'relation': 'SURROUNDS'},SURROUNDS
80,09GMmPmF55FBsVX0Cbt9gj,185UCI9LrEZ86bSX8XdJ7J,{'relation': 'SURROUNDS'},SURROUNDS
81,09GMmPmF55FBsVX0Cbt9gj,0g5JZN45H9fwWWtzNbdpy_,{'relation': 'SURROUNDS'},SURROUNDS
82,09GMmPmF55FBsVX0Cbt9gj,3wZJfL2jLDjB0lIyB8YPjB,{'relation': 'SURROUNDS'},SURROUNDS
83,09GMmPmF55FBsVX0Cbt9gj,3zDQUtpz98t8cHQhas9QxI,{'relation': 'SURROUNDS'},SURROUNDS
84,09GMmPmF55FBsVX0Cbt9gj,0q_XN$ac94nveno7zruPKU,{'relation': 'SURROUNDS'},SURROUNDS
85,09GMmPmF55FBsVX0Cbt9gj,2CE5H5s35FcB1Q1vIdu9dD,{'relation': 'SURROUNDS'},SURROUNDS
86,09GMmPmF55FBsVX0Cbt9gj,16x4d3ATHEyxxiJqLf4UXU,{'relation': 'SURROUNDS'},SURROUNDS
87,09GMmPmF55FBsVX0Cbt9gj,2I5ah1XvLBeOcVAksaBiKN,{'relation': 'SURROUNDS'},SURROUNDS
88,09GMmPmF55FBsVX0Cbt9gj,0aFZDIBfb40B72LVO77xc1,{'relation': 'SURROUNDS'},SURROUNDS
89,1fx1A3jAX0RPaL$$CuY6V0,3a8le84SH8eBxfVvat86m$,{'relation': 'SURROUNDS'},SURROUNDS
90,1fx1A3jAX0RPaL$$CuY6V0,2FxqGZHBT7e9capf3s0WbD,{'relation': 'SURROUNDS'},SURROUNDS
91,1fx1A3jAX0RPaL$$CuY6V0,0W0buuFRf7LBbtUh$$WFnY,{'relation': 'SURROUNDS'},SURROUNDS
92,1fx1A3jAX0RPaL$$CuY6V0,1uiHYRFrvBxQSS$jBDgI8t,{'relation': 'SURROUNDS'},SURROUNDS
93,1fx1A3jAX0RPaL$$CuY6V0,3ZAaCLbZr5BBfamOSJRJvl,{'relation': 'SURROUNDS'},SURROUNDS
94,1fx1A3jAX0RPaL$$CuY6V0,2_Y38KW_zCHuJMrkjNnHO9,{'relation': 'SURROUNDS'},SURROUNDS
95,1fx1A3jAX0RPaL$$CuY6V0,0a3Z9ljOH8dg3Wv7BPCp6L,{'relation': 'SURROUNDS'},SURROUNDS
96,1fx1A3jAX0RPaL$$CuY6V0,2mfaqimdj4GeKXutc8R1Pc,{'relation': 'SURROUNDS'},SURROUNDS
97,1fx1A3jAX0RPaL$$CuY6V0,3s1rxAyEDB0OA0jyrUr8ni,{'relation': 'SURROUNDS'},SURROUNDS
98,1fx1A3jAX0RPaL$$CuY6V0,1MBDANuy17aPpDzAnaq2mp,{'relation': 'SURROUNDS'},SURROUNDS
99,1fx1A3jAX0RPaL$$CuY6V0,3UUJLdDEf6r9xOCuOrQ_kt,{'relation': 'SURROUNDS'},SURROUNDS
100,3FCkINcyHF$OZeRJNrWRpQ,286EZdU1DDxeRq4O9UXQcP,{'relation': 'SURROUNDS'},SURROUNDS
101,3FCkINcyHF$OZeRJNrWRpQ,31R2SeNyTENR$$lsceF4nE,{'relation': 'SURROUNDS'},SURROUNDS
102,3FCkINcyHF$OZeRJNrWRpQ,06QlPAsDrCzBfLf5BbW6eS,{'relation': 'SURROUNDS'},SURROUNDS
103,3FCkINcyHF$OZeRJNrWRpQ,3PzyurpDP6qvlnqVROncCn,{'relation': 'SURROUNDS'},SURROUNDS
104,3FCkINcyHF$OZeRJNrWRpQ,1Ii3wpZsL39AqqFiyWhHfL,{'relation': 'SURROUNDS'},SURROUNDS
105,3FCkINcyHF$OZeRJNrWRpQ,1KS4Zsk4XCHhpbuzmhCQ58,{'relation': 'SURROUNDS'},SURROUNDS
106,3FCkINcyHF$OZeRJNrWRpQ,19w6mtP$b3n8HfHNvqzUg8,{'relation': 'SURROUNDS'},SURROUNDS
107,3FCkINcyHF$OZeRJNrWRpQ,3QrnbSizn8EQiJzoyQJkid,{'relation': 'SURROUNDS'},SURROUNDS
108,3FCkINcyHF$OZeRJNrWRpQ,1zNaoK60jAIf7$e15HUxjQ,{'relation': 'SURROUNDS'},SURROUNDS
109,3FCkINcyHF$OZeRJNrWRpQ,2VwYxkZ9X2FAfcibWrgpCw,{'relation': 'SURROUNDS'},SURROUNDS
110,3FCkINcyHF$OZeRJNrWRpQ,2cfmPn3rLD$eam7tzcasy$,{'relation': 'SURROUNDS'},SURROUNDS
